shift	isa/M000	isa/M003	isa/M014	isa/M002	isa/M011	isa/M016	isa/M018	isa/M240	isa/M009	isa/M019	isa/M007	isa/M030	isa/M027	isa/M198	isa/M004	isa/M136	isa/M032	isa/M202	isa/M213	isa/M083	isa/M204	isa/M088	isa/M023	isa/M065	isa/M015	isa/M005	isa/M072	isa/M038	isa/M173	isa/M071	isa/M203	isa/M012	isa/M057	isa/M201	isa/M218	isa/M197	isa/M001	isa/M067	isa/M135	isa/M205	isa/M074	isa/M195	isa/M066	isa/M047	isa/M132	isa/M238	isa/M043	isa/M008	isa/M138	isa/M056	isa/M211	isa/M013	isa/M006	isa/M075	isa/M031	isa/M087	isa/M039	isa/M131	isa/M035	isa/M207	isa/M080	isa/M224	isa/M022	isa/M044	isa/M194	isa/M079	isa/M121	isa/M026	isa/M144	isa/M208	isa/M010	isa/M242	isa/M141	isa/M021	isa/M054	isa/M103	isa/M042	isa/M017	isa/M111	isa/M196	isa/M209	isa/M142	isa/M137	isa/M233	isa/M086	isa/M033	isa/M048	isa/M241	isa/M235	isa/M212	isa/M089	isa/M090	isa/M062	isa/M091	isa/M078	isa/M219	isa/M134	isa/M084	isa/M073	isa/M024	isa/M102	isa/M143	isa/M068	isa/M045	isa/M139	isa/M229	isa/M108	isa/M133	isa/M081	isa/M210	isa/M064	isa/M029	isa/M120	isa/M226	isa/M149	isa/M237	isa/M230	isa/M097	isa/M128	isa/M184	isa/M113	isa/M096	isa/M076	isa/M118	isa/M191	isa/M059	isa/M222	isa/M025	isa/M155	isa/M098	isa/M239	isa/M174	isa/M232	isa/M020	isa/M095	isa/M040	isa/M069	isa/M231	isa/M110	isa/M092	isa/M105	isa/M037	isa/M223	isa/M225	isa/M156	isa/M206	isa/M119	isa/M236	isa/M215	isa/M221	isa/M063	isa/M220	isa/M093	isa/M126	isa/M130	isa/M041	isa/M183	isa/M169	isa/M228	isa/M180	isa/M094	isa/M154	isa/M157	isa/M124	isa/M214	isa/M140	isa/M123	isa/M122	isa/M175	isa/M147	isa/M186	isa/M159	isa/M058	isa/M053	isa/M052	isa/M227	isa/M127	isa/M150	isa/M099
8.49620795	-0.14230192	0.11063678	-0.07888796	0.16327016	-0.03113433	-0.0233905	-0.03791697	-0.05961625	0.09121373	-0.02303501	-0.01605544	0.0984555	-0.04977223	0.09700316	0.01193919	-0.02651625	-0.01002766	-0.03179227	-0.1438615	0.07210571	-0.14113845	0.03104259	0.04137441	0.74750386	0.03307329	0.58854337	0.07321845	-0.02861389	-0.21394121	0.01667706	-0.10879988	-0.0596045	-0.05814583	-0.09549536	-0.14730938	0.00301691	-0.56642188	0.2383364	-0.2714692	-0.0213663	-0.19992064	0.0027416	-0.36128847	-0.12039555	-0.13769311	0.13180308	0.10767729	-0.01581972	0.37340898	-0.38162879	-0.00738989	-0.01594245	0.01626882	-0.26986165	0.0379947	-0.31838446	-0.07515571	0.69380319	-0.11533769	-0.11351372	-0.10233239	-0.08078066	-0.10231119	-0.00988651	0.05805604	0.01316966	0.0062265	-0.1644359	-0.01069743	-0.08984082	0.35178689	0.05030699	0.01252433	-0.03417672	-0.05234577	-0.01947828	-0.02482197	-0.08278614	0.04779998	-0.03682788	0.18737293	-0.19165404	-0.09091586	-0.23528903	-0.01330431	-0.33668581	-0.0164108	0.06258001	-0.17295158	0.25756228	0.86128461	0.69413427	-0.00087585	-0.34239034	-0.17083747	-0.17919905	-0.0903114	-0.11410448	-0.00634394	-0.03944746	-0.25591578	0.01884127	-0.30471149	0.04997692	-0.04020203	-0.05182198	-0.08941012	-0.06468682	0.10596409	0.02174263	-0.0793788	-0.1422981	0.16709077	-0.00922561	0.13377903	0.007094	-0.26624056	-0.05561783	-0.18307233	0.12564922	-0.17470259	-0.07078381	0.05629291	-0.12585746	0.30499846	-0.09800445	-0.19491402	-0.04560689	-0.08868788	0.3442636	-0.10780735	0.27507571	0.0653974	-0.09573293	-0.05291565	0.09089555	-0.19543518	0.00297245	-0.56275387	-0.04920569	-0.34113552	0.15107497	-0.04055143	-0.26434265	0.01302711	-0.12315575	-0.08889795	-0.13697033	-0.08031881	-0.18855632	-0.05494559	-0.21882044	-0.06493575	-0.01442644	-0.66216862	0.18345535	0.33083557	0.41221401	0.42914644	-0.16340424	-0.17989786	-1.0	-0.01599433	-0.18511639	-0.0298488	-0.05559478	0.05318495	0.1047292	-0.2031304	0.06499026	-0.15594349	-0.08083976	-0.05892076	-0.12372902	0.1774755	0.03132145	0.08774741	-0.09355009	-0.31917204
8.48640761	0.63800416	-0.23137687	-0.02734138	0.04069899	-0.09827934	-0.12746824	-0.18823114	-0.02033336	0.00966471	-0.09500003	-0.03452613	-0.16615405	0.02843936	0.0187775	-0.01564363	0.12466431	-0.08026975	-0.11539225	-0.00489818	0.00525752	0.12261807	0.5874042	-0.05982237	0.27385859	-0.13624845	0.37440867	-0.04380124	-0.00073656	-0.01296533	-0.2021251	-0.00186444	-0.06316384	0.06438003	-0.09164891	0.01657439	0.04884359	-0.16885619	-0.40602185	-0.12498092	0.03605835	0.20346193	-0.13342948	-0.23679702	0.34933434	0.59855169	-0.15556676	-0.04132053	0.24429376	0.69026695	-0.01174965	-0.13316359	-0.17239629	-0.36410971	0.40587285	0.10917833	-0.15094292	0.17951275	0.39498378	0.25371504	-0.00287808	-0.03614589	0.24800896	0.12199374	-0.07380395	0.04489806	0.01449092	0.25950197	0.31354965	-0.04103007	0.03062813	-0.02218881	-0.16399989	-0.06581048	-0.076703	-0.15926549	0.09508624	0.03844864	0.09597212	-0.03624455	-0.13217108	0.00405209	0.04616922	0.57435409	-0.07591066	-0.007404	-0.29299026	-0.13311782	-0.10517349	0.03397574	-0.20034011	0.29036587	0.38719869	0.08492022	0.0009777	0.3283531	0.20330492	0.13512209	-0.03904237	0.06020379	-0.05190499	0.13346584	-0.02426808	-0.00894848	-0.11371928	-0.160526	-0.13672127	0.18919399	-0.05400372	-0.05541573	-0.02788111	0.14973693	-0.01907432	0.00885415	-0.02670478	0.30636919	-0.07635132	-0.08337803	0.05547618	0.30223719	-0.40315291	-0.06814104	0.05782743	-0.19591731	-0.1929822	-0.37095605	0.28475984	0.26709611	0.0259205	0.30904555	-0.42904776	-0.03836539	-0.05811317	-0.14191809	0.23293171	-0.25406858	0.21026797	0.02633856	0.16438176	-0.34126403	-0.17174872	-0.1514192	-0.07327445	0.07880956	0.54357023	0.2782348	-0.11455301	0.57214077	0.23391621	0.04888968	0.38025416	0.18120644	-0.26972607	-0.17407587	-0.66993736	0.13205525	0.17564196	-0.19346823	0.03515134	-0.04692877	0.16277231	-0.1287972	0.52128335	0.16998702	0.32289152	0.10386546	-0.11818128	0.07592423	0.15860305	-0.06523557	0.38258035	0.19331936	0.40354203	-0.24756396	-0.15191188	-0.04660658	-0.1251686	-0.20668975	0.27402545	-0.16538824
8.47811472	0.17802192	0.64073931	-0.0554918	0.08052329	-0.17269182	-0.05836408	-0.2066709	-0.06281976	-0.03153249	-0.01108937	-0.02732855	0.20849533	-0.0660764	-0.01190089	-0.21654001	0.01804111	-0.08231089	0.0302824	0.07551822	-0.02018665	-0.16387376	0.44483875	0.17897218	1.0	-0.103595	0.11652866	0.45344479	-0.03237076	-0.17811182	0.58946912	0.05068395	-0.08892252	-0.08755457	0.09969367	0.75387141	-0.07472019	-0.29481674	0.18439309	-0.00146576	-0.05973957	-0.15269163	-0.21040328	0.57122341	0.08942114	0.72794517	-0.11442687	0.31095009	0.15136733	0.71873676	-0.06698519	-0.19094436	-0.36004432	-0.00678514	-0.02171888	0.07160377	-0.11965924	-0.08995534	-0.02438901	-0.0222676	0.02103757	-0.08263132	0.08181801	-0.11500667	-0.06885143	-0.03823031	-0.22099463	0.10914777	-0.06393802	-0.07404553	0.09668553	0.53354857	0.14673806	0.00406319	-0.04726998	0.19283206	-0.10646782	-0.08284444	0.16296173	-0.0397416	-0.18705747	0.07071379	-0.05858759	0.79122659	-0.45205129	-0.08220241	0.02358615	-0.10561437	-0.17702924	-0.07167465	0.09368838	0.61447344	-0.04576597	0.02540725	-0.16562714	-0.04491969	-0.13824555	-0.12626467	-0.11265212	-0.26444862	-0.01910342	-0.22906245	0.03625704	-0.10395921	0.05313102	0.01350849	-0.1218785	-0.04718988	-0.18403504	0.14652341	-0.07752006	0.02224257	-0.10178777	-0.42547445	0.32124714	0.24008181	0.02700405	0.13019589	-0.3319267	0.04374269	-0.40308157	0.67874336	-0.28445926	-0.11360313	-0.19124125	-0.07708236	-0.00040681	-0.05412409	-0.02931295	0.04579433	0.17280522	-0.0506219	-0.03327331	-0.05087908	-0.10275053	-0.25562108	-0.06121569	-0.25764892	-0.02190873	-0.58723098	-0.24912149	-0.25865382	0.14958489	-0.06243665	0.62222846	-0.01402535	-0.23640422	-0.31325917	-0.0052741	-0.0480942	-0.12855851	-0.05488382	-0.1505165	-0.4147938	0.32578603	-0.0441889	0.31201677	-0.42907022	0.23810991	0.12425527	0.10837951	-0.32255078	0.16816492	0.02571864	0.30184626	-0.07586411	-0.12683832	-0.09002337	0.35021971	-0.3869861	0.35838577	-0.23224397	-0.05920597	0.12583711	0.09343946	0.19576564	-0.21005183	-0.11628388	0.33924126	-0.21595458
8.46065561	0.12666969	0.13798604	-0.09906805	-0.13917478	-0.17985777	-0.1106069	-0.17052677	-0.11383067	-0.15540215	-0.09483136	-0.0890067	0.11700364	-0.13874296	-0.15345743	-0.14335349	-0.08335163	-0.04298575	0.0781436	0.11388787	-0.05559326	-0.38306916	-0.07032621	-0.03144082	0.20729781	-0.04865546	0.02378841	0.01030256	-0.04960971	0.05890794	0.1978354	0.04156457	-0.04639407	-0.10979993	0.21899069	0.23727444	-0.17480977	-0.07487379	-0.28731797	0.08769124	-0.11559956	0.00612693	-0.01693205	0.02682155	0.07647094	0.12175752	-0.11618565	-0.02912803	-0.04550714	-0.14838873	-0.14159395	-0.11385866	-0.1140319	-0.13168436	0.26776266	0.11832745	0.41142134	0.05112812	-0.13610939	-0.03167456	-0.16485164	-0.05727779	0.13320663	0.12694209	-0.06009098	-0.02802178	0.05554519	0.19163738	0.12902537	-0.04261655	0.0726463	0.29106029	0.11662372	-0.01127735	-0.01606477	0.07289858	-0.02957247	0.02012808	0.01092333	-0.02119402	-0.18034534	-0.12535089	0.23843095	0.29830754	-0.98263797	-0.11312224	0.19313439	-0.07689285	-0.26046482	0.20361741	0.10409468	0.06335125	-0.00882632	0.06984834	-0.13385665	0.18741616	0.23850511	0.00983184	0.08865692	-0.05898199	0.13339269	-0.01695966	-0.02434757	0.43449074	0.04153339	-0.02991891	0.21102727	0.1576458	-0.01641293	-0.11502137	0.08473734	0.01253004	-0.00200441	-0.34968412	-0.02698203	0.45437669	-0.00840727	0.44715759	0.00672491	0.30381546	-0.25573505	0.47724769	-0.04227359	0.18272544	0.00866844	-0.28105982	0.08121268	0.07307429	-0.11797315	-0.11623535	-0.01985113	-0.15718359	0.41201165	0.00965822	-0.00550267	-0.1289943	-0.44003813	0.06778001	0.21142423	-0.22517376	-0.04665945	-0.20346059	0.01610954	-0.1354027	0.00828786	-0.10564337	-0.19811734	-0.09059081	0.44374738	0.00629023	0.26297276	-0.0026755	0.26712179	-0.29981061	0.40748172	-0.17113825	0.09657692	-0.15175137	0.050267	0.36318878	0.23589038	-0.37993618	0.55800332	0.00659033	0.04853901	-0.13897158	0.28616027	0.15303654	-0.22912524	-0.14133248	0.23639527	-0.39591342	-0.1259248	0.17934958	0.01825901	0.14870762	-0.0498452	0.17667568	0.18064233	-0.04050968
8.45026982	0.21986664	-0.14445723	0.15277898	0.06068511	-0.03527398	-0.07807687	-0.23787739	0.14078344	0.08084021	0.03011303	0.11997604	0.11005393	-0.00797609	-0.01270724	-0.00764204	0.00890972	-0.11636071	0.03413648	-0.01723527	0.05166062	0.06571349	0.1716336	0.49570952	0.17249265	-0.11572565	0.2025754	0.01363821	0.01414281	0.10567778	-0.05093391	0.00918764	-0.03954375	0.066798	0.36251154	0.21665826	-0.00760334	-0.26912823	-0.17642526	0.05265901	0.1052831	0.14626921	-0.10922201	0.17381549	0.07599019	0.30206005	-0.11772317	0.0407058	0.11888939	-0.27451997	0.00190537	-0.10861928	-0.16354093	-0.43092918	0.14960153	0.19009857	0.0095248	-0.00164415	0.23079844	0.05160385	0.11495865	7.221e-05	0.11603501	0.0209662	0.01046135	0.07293306	0.00559527	-0.01480111	0.09451692	-0.13549843	0.02773364	0.34463027	0.28597253	-0.26766402	-0.0620623	-0.1726436	0.10310706	0.03309341	0.061409	0.01550423	-0.17221367	0.03346353	-0.04267253	0.12910742	-0.05814013	0.03994998	-0.31771244	-0.0831297	-0.04034042	-0.09499826	-0.05312785	0.22893624	0.21499904	0.01863649	-0.06466975	0.07060103	0.14893236	0.04723789	-0.08206074	-0.05713954	-0.10769797	-0.17725332	0.02804177	-0.1553952	-0.05880236	0.02486348	0.06720262	0.2455578	-0.21930501	0.10279185	-0.12938213	0.0330026	-0.09179954	0.02099744	0.49997743	-0.06622302	-0.02760336	-0.08843162	0.01561256	-0.00120001	-0.14121056	0.17031652	0.00661349	-0.24824827	-0.37920153	-0.37738516	0.14098581	0.10599687	-0.05850362	0.17069437	-0.2874677	0.0447416	-0.00539916	0.21706116	0.00274932	0.02445391	0.1837835	0.13657896	0.13300529	-0.37776144	0.01399571	-0.04554714	0.07717941	-0.1051288	0.64879782	0.09837945	0.107651	0.2131867	-0.07824718	0.06075341	-0.00825844	0.20585264	-0.3283692	-0.11793564	-0.60578047	-0.01798775	0.10416984	-0.156129	0.43965248	0.36217995	0.03659845	-0.28554581	0.14757696	-0.00620588	0.14754432	0.10837262	-0.26545328	0.06570878	-0.09842413	-0.30690174	0.24346895	0.5258576	0.15047973	-0.32896318	-0.11513342	0.22046932	0.02025201	0.33518804	0.15606167	-0.26332984
8.437004	0.5572264	-0.15896512	-0.05079997	-0.04381224	-0.04038281	-0.05678459	-0.22754576	-0.07199384	-0.05144509	-0.04465405	-0.00996926	0.20603072	0.00581524	0.01865497	0.10270067	0.03820613	-0.04834896	0.04013304	-0.00302463	-0.01702646	0.11958422	0.38284515	0.4772523	0.06303085	-0.1233245	0.12048498	0.05859442	-0.01868636	0.08790021	-0.10635227	0.05200398	0.02059937	0.06842147	0.01464624	0.18365713	0.03158606	-0.16123597	0.09031726	-0.00010456	0.03627413	0.25285598	-0.03212095	-0.24900227	0.32718372	0.41952297	-0.04416876	-0.10524765	0.05791972	0.1033189	-0.02978259	-0.14119448	-0.1189845	-0.31774912	0.32479189	0.09139691	-0.0637447	0.14374532	-0.13444651	0.17115354	-0.14249945	-0.00596053	0.229239	0.01456167	-0.14509751	0.124691	0.03179433	0.03431342	0.26025631	-0.01869323	0.01384448	-0.09377137	0.27111465	-0.2723089	-0.061734	-0.14665027	0.07733512	0.06502373	0.16488219	-0.06049428	-0.0925352	-0.18711395	0.11971204	0.28530142	0.19834751	-0.01314022	-0.32001204	-0.14912591	-0.01999499	0.06235222	-0.19472148	0.23761303	0.0292585	0.04644638	-0.07533764	0.15415669	-0.00811354	0.15431797	-0.04905939	-0.0101251	0.03541004	-0.04916565	-0.03922751	-0.04403328	-0.14714573	-0.0053933	0.01473047	0.22370862	-0.07037214	-0.0553688	-0.06137178	0.1187663	-0.00681501	-0.14749244	0.29891975	0.22919222	0.1067695	-0.29778269	-0.33389662	0.36827158	0.07989742	-0.01127751	0.01086299	-0.24151064	-0.10340097	0.0034632	0.21411562	0.22271435	-0.11914102	0.25432305	0.07059804	-0.02133817	-0.38609666	0.00901921	0.12707866	0.15457344	0.19608638	0.25578668	0.08091909	-0.28476754	-0.02289182	-0.23476332	0.01629822	-0.01735843	0.17476839	0.06434095	0.0022204	0.36776245	0.12948059	0.09755272	0.15891479	0.11603097	-0.32557054	-0.3660532	-0.52792342	0.66387377	0.20234787	-0.26316925	0.02602992	-0.05757164	0.34623022	-0.05118031	0.20664751	0.09498753	-0.52919246	0.08955865	-0.17519081	0.1408757	0.02039371	0.10806577	0.30437627	0.09788781	0.18216156	-0.13655689	-0.17288061	-0.07290652	-0.05860591	0.08076277	0.37167813	0.04483636
8.43586394	0.25043814	0.07970052	-0.0191617	0.05092132	-0.00811297	0.00082684	-0.19408991	0.03968324	0.01669872	0.06542664	0.05352432	0.21321664	0.04092021	0.039421	0.00519091	0.00973097	-0.02031483	-0.13996964	-0.01371238	0.02520754	0.05311909	0.25335438	0.5788903	0.31755551	-0.08807746	0.10580651	0.29542263	0.04210975	0.00364298	0.01085657	0.00567265	-0.06709004	0.03813004	0.00472395	0.09243678	-0.13365432	-0.21817258	0.35775385	-0.03522429	0.08398182	0.01232338	-0.10882497	-0.13944921	0.17058401	-0.06492919	-0.03042763	0.13540959	-0.02033827	0.1154481	-0.02256279	-0.11284334	-0.19375208	-0.09588753	0.12709804	0.06199059	-0.11467597	-0.04470084	-0.04677734	0.02904461	-0.15635666	-0.00584286	0.11077258	-0.11035063	-0.11144335	0.16031948	-0.06844106	0.04285475	0.08085581	-0.05549218	0.08894792	0.16939768	0.47306306	-0.08325266	-0.05236518	-0.1007067	-0.05220154	0.01111273	0.13076517	-0.05546539	-0.12091911	0.16710581	-0.01725377	0.42411243	-0.35187125	-0.03881758	-0.16980849	-0.15102638	0.03111137	0.06102547	-0.01342732	0.08554887	-0.06688464	0.01310872	-0.152098	-0.06460304	-0.26240762	0.08435227	-0.08718195	-0.11475355	-0.0809172	0.04330947	0.00092952	-0.09403211	-0.07958829	0.41258902	-0.11810193	-0.00017413	-0.17023254	0.03544498	-0.19284954	0.04609061	-0.08072097	-0.13233043	0.50506113	-0.08752301	0.08272873	-0.10627914	-0.32504998	0.14414502	0.23641643	-0.02489695	-0.0943917	-0.15409828	-0.07313927	-0.10253518	0.07016653	0.09582923	-0.09497288	0.14091873	0.07377716	-0.07564708	-0.28182094	-0.0459411	-0.05561111	-0.04325937	0.03186083	0.06205193	0.01285101	-0.42299884	-0.11935403	-0.06411698	0.07041506	-0.14525644	0.16255894	-0.10866642	-0.01789469	-0.72173733	-0.08523523	0.00418937	-0.03212779	-0.00657395	-0.24896326	-0.0739467	-0.08535224	0.44616102	0.21105816	-0.31811536	0.23904326	0.12402198	0.17696598	-0.17012649	0.10889051	0.05702995	-1.0	0.11645587	-0.24437732	0.14279578	0.18632143	-0.02802723	0.25264449	-0.08395808	0.33510054	-0.04276451	-0.07774704	0.04837199	-0.09229672	-0.09093136	0.11647493	-0.07499015
8.42425579	0.40672355	0.14428374	-0.06877598	-0.05181959	-0.0136543	-0.02514586	-0.25863848	0.00777695	-0.05003726	0.03075043	-0.054168	0.40128966	-0.07664302	-0.05670943	-0.05722169	0.00367648	-0.09055595	-0.01497553	-0.06798438	-0.0581577	0.04255977	0.41906182	0.29905761	0.00594551	0.00670278	-0.03063643	0.07229003	-0.03482515	0.11842763	0.18813838	-0.02597226	0.01750394	-0.02471887	-0.07201895	0.4940953	0.00883562	-0.10879669	0.25242357	0.09023942	0.01359952	0.18275023	-0.06983247	0.24122902	0.19617474	0.56966993	-0.07324115	-0.0130941	-0.09771769	0.17902227	-0.00192838	-0.12513727	-0.30929655	0.19368599	0.10723453	0.0760105	-0.14493103	-0.04207471	0.06299982	0.08998122	0.22225129	-0.09829373	0.19212394	-0.06474986	-0.16625259	-0.06940187	-0.16987302	0.0699158	0.17794208	-0.15093437	-0.08494425	-0.08348822	0.45518484	0.71046632	-0.0216836	0.00641396	0.04582736	0.11396777	0.08710307	0.04666369	-0.12026554	0.05403254	-0.10824373	-0.02025845	-0.01010923	-0.01646932	-0.22318733	-0.03842743	-0.02873973	-0.1810346	-0.24160897	0.27088791	-0.12662101	0.03981224	-0.10596699	0.0599346	0.08376431	-0.06286445	-0.09309071	-0.02669904	-0.04414014	0.066836	-0.06314852	-0.17877727	-0.10723321	0.16087328	-0.20955996	0.26863775	-0.20754528	0.03542354	-0.00095232	0.12786037	-0.01035267	0.16579086	0.19961775	0.16382169	0.13809343	-0.41670175	-0.40568745	0.45897097	-0.02331535	-0.33637213	-0.26727396	-0.34856704	0.32911929	-0.24203191	0.08179855	-0.01084645	-0.12450283	0.21103587	0.80701986	-0.1082145	-0.12882445	0.13916768	0.01856647	-0.12294464	0.07144939	-0.12846467	-0.02675917	-0.45168768	-0.09627947	-0.38913319	-0.05135787	-0.01924415	0.38558546	-0.13237073	-0.1064879	0.0537688	-0.01330461	-0.02732135	0.00227584	-0.02287141	-0.41856777	0.52855307	-0.55800943	0.24541479	0.20267126	0.07613368	-0.06102215	-0.14949139	0.32568654	-0.39600783	0.29310261	0.10844654	-0.1506282	-0.06832068	-0.31096677	0.19002395	-0.4150395	-0.13424126	0.16526702	-0.12871669	0.02833689	-0.04140513	-0.15212624	-0.12476676	-0.19259093	-0.0562243	0.083481	0.15438175
8.41534603	0.59794076	-0.00963541	-0.15384698	-0.02134049	-0.07895797	-0.01287328	0.25630368	-0.07111949	-0.08364878	-0.10248458	-0.06294219	0.2887927	-0.05641752	-0.06129288	-0.08749522	0.02169538	0.00864813	-0.1526091	-0.08311669	-0.03280533	0.08754663	0.67013196	0.44421001	-0.01303842	-0.0715654	0.0451376	-0.15086752	-0.05156337	0.02710782	-0.04357093	0.18039225	0.00114838	0.01124892	0.00924584	-0.05712467	0.00078798	-0.1003494	0.08625308	-0.0387454	0.05350771	0.16434144	-0.12885817	-0.19405032	0.30633433	-0.22100275	-0.12516258	-0.0847365	-0.00649735	0.20652287	0.01641753	0.47180359	-0.28748536	0.3977032	0.1410997	0.1274681	-0.29297262	0.04598534	0.04422073	0.11428739	-0.00170206	-0.00325228	0.20228583	-0.06079812	-0.10641944	-0.03080731	-0.21266829	0.084766	0.19835707	-0.14321658	-0.0837365	-0.10250488	0.32923859	0.72702403	-0.02006643	-0.10180865	0.01230694	0.12400745	0.18449644	-0.00086192	-0.17165009	0.08516579	-0.08094245	-0.13013989	-0.10668534	-0.07642415	-0.30480973	-0.05189977	-0.02240074	-0.08264209	-0.28577724	0.31464352	-0.09935234	0.05460093	-0.13588392	0.03386668	0.02816761	-0.01535645	-0.12838779	-0.11319667	-0.04720359	0.07151528	-0.05532991	-0.26294087	-0.0913914	0.06792054	-0.22313703	0.27691548	-0.09146406	-0.02413881	-0.08845947	0.14911525	-0.0532152	-0.06803069	0.25033216	0.35260076	0.03554765	-0.55360988	-0.22711713	0.30812697	0.25450502	-0.1375198	-0.067531	-0.6016963	0.20793667	-0.02088693	0.16667844	0.07782849	-0.08319329	0.24543088	0.53942533	-0.07576917	-0.23607491	-0.02325627	0.06096795	-0.01371012	0.12494429	-0.1925149	0.07191692	-0.48467926	-0.17765587	0.63507426	-0.04755135	-0.12924982	-0.42288421	0.0750445	-0.06850873	0.12613006	-0.02118116	0.01811854	0.09608181	0.00265092	-0.5649989	0.46703231	-0.57097922	0.3498816	0.29946988	-0.25696473	0.01122364	-0.14053786	0.34461994	-0.12089994	0.40302637	0.09828201	-0.62376891	-0.009659	-0.48370679	-0.06376163	0.31116743	-0.16016514	0.37983905	0.14810789	-0.00039408	-0.06358706	-0.14678388	-0.05878297	-0.19402822	-0.00606302	0.40814884	0.09979328
8.40193465	0.43643544	-0.09704848	-0.19029542	-0.0714422	-0.1452219	0.01007821	0.71123554	-0.15692532	-0.06453684	-0.15724477	-0.12838579	-0.27298956	0.00090166	-0.09840063	-0.05211215	-0.00042127	0.0117516	-0.09826152	-0.06378014	0.04082549	0.04067428	0.57369527	0.15827672	-0.35044801	-0.13683172	-0.02985947	-0.11535783	-0.13449678	-0.08051259	0.03020507	0.21755685	-0.02880393	-0.00828031	-0.16099589	-0.27430182	0.02256314	0.04903635	-0.17255745	0.1308995	-0.05781843	0.12909619	-0.20913194	-0.01905043	0.29196059	-0.20956125	-0.11446162	-0.15766313	-0.00557974	0.00921096	0.06875239	0.49598344	-0.11355643	0.79131278	0.17555921	0.08558521	-0.21724425	-0.05469595	-0.02440253	0.24277984	0.13068663	-0.05317953	0.19205916	-0.09705528	-0.01398223	0.07959404	-0.22061741	0.02987226	0.16268453	0.47248027	0.00363718	-0.25494509	-0.16007369	0.33798479	0.00514573	-0.05464406	-0.04402257	0.14003155	0.19428911	-0.05217196	-0.03325075	-0.24921231	-0.08763131	-0.17365364	-0.02429176	-0.07809058	-0.12980421	-0.05854601	-0.01594478	-0.04173508	-0.33496171	-0.39045708	-0.16780491	0.00940049	-0.19439975	-0.06699597	-0.00312777	0.027189	-0.10548042	-0.00711755	-0.0841504	-0.23262607	-0.10014373	-0.23507495	-0.09346489	0.42149313	-0.1370559	0.03423757	-0.02519485	0.13193643	-0.208976	0.11151499	-0.00158837	-0.1573346	0.03966214	0.33037119	-0.03181826	-0.18728444	-0.0694778	0.39006881	0.53463476	-0.25352935	-0.08559426	-0.55259484	-0.01655509	0.46857041	0.12198766	0.02711255	0.02959956	0.25711208	-0.46734918	0.01523079	0.60926049	-0.02003196	0.07550805	-0.04098224	0.09012027	-0.20081005	0.06430396	-0.30048811	-0.14264496	0.9436086	-0.17380101	0.04191774	-0.01173654	0.01727719	0.03499744	0.20497953	-0.08557918	0.0468579	-0.09652131	0.02033827	-0.3431298	0.19198053	-0.29021145	0.24926304	0.12442265	-0.23092053	-0.35246481	0.06899265	0.09205685	0.16746706	0.24445626	0.10754055	-0.22433393	-0.02719781	-0.41127381	-0.16169812	0.32916953	-0.12593199	0.3523313	-0.02904759	-0.18789528	-0.03529781	-0.05446623	-0.16410422	-0.10802716	-0.18254913	0.31918103	-0.02659353
