f7.83125363f7.5543394	f7.83p-f7.55p
f3.96892066f7.5543394	f3.97m-f7.55p
f7.8423149f3.96892066	f7.84p-f3.97m
f7.65137389f7.54371056	f7.65p-f7.54p
f2.67183079f2.55375959	f2.67p-f2.55p
f4.05847317f3.04562355	f4.06m-f3.05m
f2.26835606f7.41543777	f2.27m-f7.42m
f4.19323137f2.26835606	f4.19p-f2.27m
f7.21512364f2.34609156	f7.22m-f2.35m
f2.10098149f2.26835606	f2.1p-f2.27m
f8.08686961f4.44197134	f8.09m-f4.44p
f1.9327416f2.26835606	f1.93p-f2.27m
f3.11155736f3.30174918	f3.11p-f3.3p
f6.36097057f6.13422123	f6.36p-f6.13p
f2.72536507f3.04562355	f2.73m-f3.05m
f8.33470473f6.67724044	f8.33p-f6.68m
f7.30971869f6.84334939	f7.31m-f6.84p
f4.64518419f5.23951002	f4.65m-f5.24m
f6.24620988f6.36097057	f6.25m-f6.36p
f3.58786783f2.47461135	f3.59m-f2.47p
f6.21704203f6.06044366	f6.22m-f6.06p
f6.98478217f7.76865622	f6.98p-f7.77m
f2.74415963f3.58786783	f2.74p-f3.59m
f3.18131412f2.74415963	f3.18p-f2.74p
f6.99371349f6.84334939	f6.99p-f6.84p
f7.15493875f2.16092068	f7.15p-f2.16p
f4.11516934f3.58786783	f4.12m-f3.59m
f4.26441488f4.11516934	f4.26p-f4.12m
f6.43833605f3.04562355	f6.44m-f3.05m
f1.91427696f2.11117558	f1.91p-f2.11p
f1.50892693f3.58786783	f1.51m-f3.59m
f5.86025971f5.61164911	f5.86p-f5.61p
f2.38065771f1.50892693	f2.38p-f1.51m
f1.37357132f1.50892693	f1.37p-f1.51m
f1.11970213f1.37357132	f1.12m-f1.37p
f5.97056593f5.86025971	f5.97p-f5.86p
f3.65800917f7.36383034	f3.66m-f7.36p
f7.47437275f7.33825723	f7.47p-f7.34m
f1.12989762f1.50892693	f1.13m-f1.51m
f4.00955893f3.58786783	f4.01m-f3.59m
f3.39722713f3.52922397	f3.4m-f3.53m
f3.15649363f4.05847317	f3.16m-f4.06m
f4.03764378f2.72536507	f4.04m-f2.73m
f4.53880071f5.21309637	f4.54m-f5.21p
f4.30671322f7.67911541	f4.31m-f7.68m
f3.37475199f1.50892693	f3.37p-f1.51m
f1.83683351f2.38065771	f1.84m-f2.38p
f2.61479076f6.84334939	f2.61p-f6.84p
f3.09422033f1.19139379	f3.09p-f1.19p
f6.26268833f3.04562355	f6.26p-f3.05m
f6.173676f4.07081943	f6.17p-f4.07p
f3.62745737f2.16092068	f3.63m-f2.16p
f2.9415488f8.33060653	f2.94p-f8.33p
f5.98390494f4.05847317	f5.98p-f4.06m
f2.65362897f6.13422123	f2.65p-f6.13p
f4.24945164f3.58786783	f4.25m-f3.59m
f2.36721772f4.30671322	f2.37m-f4.31m
f2.0802689f4.53880071	f2.08p-f4.54m
f1.48991788f3.18131412	f1.49m-f3.18p
f7.08725811f7.88000916	f7.09m-f7.88p
f6.12074843f3.04562355	f6.12p-f3.05m
f8.49620795f7.62955706	f8.5m-f7.63m
f2.8938235f2.74415963	f2.89p-f2.74p
f8.34870752f4.30671322	f8.35m-f4.31m
f7.95494567f2.27881983	f7.95p-f2.28m
f2.62446615f3.58786783	f2.62p-f3.59m
f0.91439674f1.01900188	f0.91p-f1.02m
f6.51473917f6.36097057	f6.51p-f6.36p
f7.26597854f4.19323137	f7.27m-f4.19p
f6.09812883f4.30671322	f6.1m-f4.31m
f5.32384267f6.13422123	f5.32p-f6.13p
f5.99956963f3.04562355	f6.0m-f3.05m
f2.8477771f4.07081943	f2.85m-f4.07p
f3.84184016f4.53880071	f3.84p-f4.54m
f7.95316535f4.19323137	f7.95p-f4.19p
f2.29228556f2.39563347	f2.29p-f2.4m
f3.41036438f4.64518419	f3.41p-f4.65m
f6.74609331f2.26835606	f6.75m-f2.27m
f1.79263619f1.64399104	f1.79p-f1.64p
f1.32800494f4.11516934	f1.33m-f4.12m
f5.49046355f6.13422123	f5.49p-f6.13p
f5.45413051f2.9415488	f5.45p-f2.94p
f4.62974974f6.24620988	f4.63m-f6.25m
f4.02377892f1.83683351	f4.02p-f1.84m
f6.48213498f4.61730956	f6.48p-f4.62m
f0.83155705f1.24709382	f0.83p-f1.25m
f3.17086713f5.86025971	f3.17p-f5.86p
f2.78078922f4.39112747	f2.78p-f4.39p
f1.10153829f1.2375346	f1.1p-f1.24m
f7.97917265f2.10098149	f7.98m-f2.1p
f7.17527913f6.87201597	f7.18m-f6.87p
f1.96535712f8.09635394	f1.97m-f8.1m
f3.6353089f2.26835606	f3.64m-f2.27m
f2.8200243f1.42052021	f2.82p-f1.42p
f2.31137638f3.11155736	f2.31p-f3.11p
f2.79038061f2.29228556	f2.79p-f2.29p
f6.72081819f7.8423149	f6.72p-f7.84p
f1.08829468f1.83683351	f1.09m-f1.84m
f0.86830182f1.54263629	f0.87m-f1.54p
f3.78517816f1.48991788	f3.79m-f1.49m
f3.69849025f7.08725811	f3.7m-f7.09m
f4.34452389f1.22665954	f4.34p-f1.23m
f3.20704457f4.45891829	f3.21m-f4.46m
f2.00966913f1.64399104	f2.01m-f1.64p
f4.48171741f1.22665954	f4.48p-f1.23m
f2.43158044f3.23015616	f2.43p-f3.23p
f8.24549261f6.30796788	f8.25m-f6.31m
f2.46419281f2.14161058	f2.46p-f2.14p
f3.01992633f2.43158044	f3.02m-f2.43p
f8.48640761f6.06044366	f8.49m-f6.06p
