cas	id	score/f7.83125363f7.5543394	score/f3.96892066f7.5543394	score/f7.8423149f3.96892066	score/f7.65137389f7.54371056	score/f2.67183079f2.55375959	score/f4.05847317f3.04562355	score/f2.26835606f7.41543777	score/f4.19323137f2.26835606	score/f7.21512364f2.34609156	score/f2.10098149f2.26835606	score/f8.08686961f4.44197134	score/f1.9327416f2.26835606	score/f3.11155736f3.30174918	score/f6.36097057f6.13422123	score/f2.72536507f3.04562355	score/f8.33470473f6.67724044	score/f7.30971869f6.84334939	score/f4.64518419f5.23951002	score/f6.24620988f6.36097057	score/f3.58786783f2.47461135	score/f6.21704203f6.06044366	score/f6.98478217f7.76865622	score/f2.74415963f3.58786783	score/f3.18131412f2.74415963	score/f6.99371349f6.84334939	score/f7.15493875f2.16092068	score/f4.11516934f3.58786783	score/f4.26441488f4.11516934	score/f6.43833605f3.04562355	score/f1.91427696f2.11117558	score/f1.50892693f3.58786783	score/f5.86025971f5.61164911	score/f2.38065771f1.50892693	score/f1.37357132f1.50892693	score/f1.11970213f1.37357132	score/f5.97056593f5.86025971	score/f3.65800917f7.36383034	score/f7.47437275f7.33825723	score/f1.12989762f1.50892693	score/f4.00955893f3.58786783	score/f3.39722713f3.52922397	score/f3.15649363f4.05847317	score/f4.03764378f2.72536507	score/f4.53880071f5.21309637	score/f4.30671322f7.67911541	score/f3.37475199f1.50892693	score/f1.83683351f2.38065771	score/f2.61479076f6.84334939	score/f3.09422033f1.19139379	score/f6.26268833f3.04562355	score/f6.173676f4.07081943	score/f3.62745737f2.16092068	score/f2.9415488f8.33060653	score/f5.98390494f4.05847317	score/f2.65362897f6.13422123	score/f4.24945164f3.58786783	score/f2.36721772f4.30671322	score/f2.0802689f4.53880071	score/f1.48991788f3.18131412	score/f7.08725811f7.88000916	score/f6.12074843f3.04562355	score/f8.49620795f7.62955706	score/f2.8938235f2.74415963	score/f8.34870752f4.30671322	score/f7.95494567f2.27881983	score/f2.62446615f3.58786783	score/f0.91439674f1.01900188	score/f6.51473917f6.36097057	score/f7.26597854f4.19323137	score/f6.09812883f4.30671322	score/f5.32384267f6.13422123	score/f5.99956963f3.04562355	score/f2.8477771f4.07081943	score/f3.84184016f4.53880071	score/f7.95316535f4.19323137	score/f2.29228556f2.39563347	score/f3.41036438f4.64518419	score/f6.74609331f2.26835606	score/f1.79263619f1.64399104	score/f1.32800494f4.11516934	score/f5.49046355f6.13422123	score/f5.45413051f2.9415488	score/f4.62974974f6.24620988	score/f4.02377892f1.83683351	score/f6.48213498f4.61730956	score/f0.83155705f1.24709382	score/f3.17086713f5.86025971	score/f2.78078922f4.39112747	score/f1.10153829f1.2375346	score/f7.97917265f2.10098149	score/f7.17527913f6.87201597	score/f1.96535712f8.09635394	score/f3.6353089f2.26835606	score/f2.8200243f1.42052021	score/f2.31137638f3.11155736	score/f2.79038061f2.29228556	score/f6.72081819f7.8423149	score/f1.08829468f1.83683351	score/f0.86830182f1.54263629	score/f3.78517816f1.48991788	score/f3.69849025f7.08725811	score/f4.34452389f1.22665954	score/f3.20704457f4.45891829	score/f2.00966913f1.64399104	score/f4.48171741f1.22665954	score/f2.43158044f3.23015616	score/f8.24549261f6.30796788	score/f2.46419281f2.14161058	score/f3.01992633f2.43158044	score/f8.48640761f6.06044366	score/f5.60282437f3.04562355	score/f3.86525495f3.7539065	score/f5.19909117f7.81503062	score/f7.99540288f8.15267475	score/f3.00131145f3.92193576	score/f2.02327747f3.01992633	score/f7.07578926f6.36097057	score/f6.82959963f6.13422123	score/f4.52031939f4.35614714	score/f1.38821794f2.66759434	score/f8.30641865f6.13422123	score/f1.27162019f2.36721772	score/f3.51789794f1.24709382	score/f3.89303619f5.24436416	score/f3.74338363f3.24618599	score/f6.52446765f2.65362897	score/f4.27728549f4.00955893	score/f2.94437771f4.2967762	score/f1.18001829f3.6660258	score/f5.45933027f4.62974974	score/f7.7263651f7.117331	score/f6.71691438f7.5543394	score/f6.55095009f6.24620988	score/f0.97475418f2.47537718	score/f5.18848173f7.0109346	score/f8.22507171f3.00131145	score/f6.6336729f3.04562355	score/f3.43006857f3.23015616	score/f8.38761746f3.74338363	score/f4.14843399f1.8614884	score/f3.76460529f6.36097057	score/f6.89686185f4.07081943	score/f2.90444467f3.23015616	score/f8.1918897f8.33470473	score/f1.31378065f1.70904734	score/f3.82947275f4.26441488	score/f7.06217792f2.34609156	score/f1.61871485f1.01900188	score/f6.68878115f4.30671322	score/f8.02105451f7.90392089	score/f7.10426492f3.24618599	score/f5.29065005f6.24620988	score/f8.20628545f4.05847317	score/f5.51326463f1.66487509	score/f4.58958407f3.23015616	score/f3.29149357f2.17139329	score/f2.88363939f2.47461135	score/f8.34643622f4.00955893	score/f5.34719257f4.29740181	score/f2.92630419f5.24436416	score/f3.48227835f5.24436416	score/f5.52944098f6.36097057	score/f6.07064227f6.65703491	score/f2.63782808f1.50892693	score/f3.90357189f2.16092068	score/f2.21837317f4.00955893	score/f5.4446624f7.117331	score/f8.05600859f7.7263651	score/f7.02540525f7.50037017	score/f4.55579687f7.67911541	score/f3.60478819f1.8614884	score/f6.96092807f3.87397676	score/f3.9339112f5.86025971	score/f7.03452178f2.9415488	score/f1.52511092f1.83683351	score/f8.02916865f4.00955893	score/f3.3225281f4.44197134	score/f2.32341986f4.07081943	score/f8.13693716f8.437004	score/f6.36097057f6.13422123.neg	score/f6.36097057f6.13422123.pos	score/f3.58786783f2.47461135.neg	score/f3.58786783f2.47461135.pos
332-80-9	10000011	104.5073	119.9488	114.0275	97.2257	2.9875	42.0710	0.6389	0.4600	1.2568	0.2853	0.0000	1.0984	15.2858	11.6216	18.8971	0.0392	2.5419	0.0001	10.5366	11.3212	7.7203	7.4920	10.9516	16.4260	10.0420	0.0303	9.1557	6.4749	16.0804	0.1645	11.4530	4.9104	8.7229	8.2213	4.8579	3.9915	12.5515	0.0001	6.7835	11.4935	0.0000	24.1582	6.0669	7.4583	13.7854	6.6840	6.6972	1.9567	3.4899	14.2018	3.2161	0.0000	5.2755	13.1044	7.8544	6.8366	7.5379	3.9518	11.7916	3.8588	14.2170	16.5972	4.5015	7.1365	2.5887	8.9380	0.0000	7.1584	0.0320	6.7537	6.2563	13.6638	2.2865	5.5992	0.0147	5.2072	0.0120	0.0597	0.0000	1.5142	5.9655	4.2102	3.4970	4.8939	0.0104	1.9458	11.3859	0.0000	0.4861	0.0262	0.0000	0.0037	0.0666	0.0000	5.5690	3.1290	14.1581	4.6278	0.0098	2.1586	11.5090	0.0000	0.0039	0.0001	0.0001	0.7642	1.5696	0.2579	3.2094	3.6180	10.0455	0.0084	0.3959	0.0000	0.0000	4.3594	7.8450	4.2435	2.1407	4.1667	3.1654	1.2106	0.7609	0.0010	0.0132	1.7377	3.8150	1.3822	1.5651	0.0001	0.4493	9.5309	2.6170	0.7389	3.7634	0.0038	6.7835	0.2574	0.0210	0.0002	5.2108	0.7996	0.6799	0.0237	0.0000	2.3515	0.7288	0.0000	1.8006	0.0003	0.1135	2.4742	6.1514	0.0000	0.3847	0.1798	2.3212	3.3924	0.1823	0.0002	0.0000	4.2625	0.3277	1.7399	0.0026	2.9421	0.0677	0.0000	0.0245	4.4977	0.0003	0.0240	6.5879	1.9166	2.3923	2.7728	0.0000	0.4263	0.0096	4.4958	9.1401	6.0550	4.0334
109-76-2	10000021	0.0042	0.0071	0.0125	0.0011	1.2128	3.5301	15.0283	18.2409	2.5991	30.7946	0.2743	12.2636	19.5799	2.7103	2.2900	0.0328	0.0143	0.0003	2.9692	1.9685	1.5536	0.0069	2.0826	1.5900	0.0128	0.0009	2.4924	1.9041	1.7615	13.9703	3.5856	1.2846	3.6333	4.7202	3.4843	1.0514	1.7178	0.0003	3.5645	1.8906	0.0761	3.2704	1.3842	3.4146	2.4862	3.1057	3.3142	0.0054	7.1800	1.9753	1.6350	0.0020	1.4896	1.6211	1.9640	1.7328	2.5875	10.4032	1.1757	0.5389	1.9514	0.0008	0.4258	2.6405	5.9748	2.0830	0.0002	1.7463	7.1153	2.3426	1.0412	1.7152	0.8083	2.4943	6.7082	1.2644	0.0005	6.8341	0.0000	0.3172	1.2756	0.9522	1.5526	2.8074	0.0767	0.8791	2.3276	0.0130	0.1971	10.4888	0.0023	0.3141	6.8732	0.0064	8.4268	0.4696	0.0113	2.4479	0.0002	0.6878	0.3156	0.0097	0.2571	0.0003	0.0271	0.3426	0.4071	0.3086	0.7374	0.6875	1.2739	0.0009	0.0019	0.0000	0.0013	6.4445	1.3355	1.0772	0.7687	2.0331	0.7191	1.0694	0.2154	0.0002	0.0209	0.8924	0.3429	1.0316	0.0001	0.0013	0.0050	0.0022	0.8486	0.2616	0.0686	0.0012	0.7226	0.1538	0.0004	0.0692	1.0788	0.6739	0.2704	0.0490	0.0016	0.4852	0.3405	0.0027	0.8899	0.0037	0.3331	0.7651	0.8778	0.0000	0.2256	0.2587	0.2190	0.2872	0.3368	0.0002	0.0001	0.9113	0.0980	0.7480	0.0000	1.4357	0.0232	0.0006	0.0203	1.2433	0.0142	0.0141	0.5939	0.2621	1.1100	0.2180	0.0319	0.7169	0.0026	2.7103	2.7103	0.8719	1.9685
600-18-0	10000051	1.0753	1.2673	1.7255	0.4696	1.2484	10.7577	0.1472	0.0128	0.8782	0.0006	0.0009	0.1527	0.4558	7.6612	15.7774	0.0025	0.0244	0.0000	8.5090	9.0867	5.2908	0.0024	15.6088	15.1767	0.0248	0.0039	8.4569	7.0821	6.3162	0.2932	10.1387	2.4981	8.6335	8.0504	6.2116	1.7085	4.9605	0.0006	8.0791	6.3411	0.0082	6.0922	8.8077	7.9645	3.5307	7.7959	5.7877	0.0004	0.0000	7.4601	2.3577	0.0002	3.7188	5.7163	4.6830	7.4722	3.5502	5.3003	7.5133	1.0726	6.0605	0.2876	9.8779	3.1819	2.5697	6.9555	0.0091	6.1444	0.0081	3.2753	3.9283	5.9130	0.9930	6.5965	0.0008	7.7809	0.0001	0.0097	0.0000	3.3022	5.1258	3.1108	4.7777	3.6969	0.3102	5.0218	1.1749	6.9344	9.2032	0.0001	0.0000	0.1229	0.0000	0.0113	0.3774	14.8667	0.7720	10.0780	0.2589	4.8760	2.0684	0.0155	0.0057	0.0024	0.0198	0.0101	2.5400	0.3861	0.0110	2.2698	4.4673	0.0075	0.0109	0.0002	0.0017	0.5112	4.0093	3.6648	2.5838	4.5289	2.2927	1.1805	1.1549	0.0000	0.0000	1.3364	1.4477	0.5334	0.0000	0.0986	0.0000	0.2857	3.8132	0.7948	1.3406	0.0024	3.3565	0.0084	0.0046	0.0306	4.0628	0.4722	0.0200	0.0099	0.0001	3.4223	0.7866	0.0015	1.4021	0.0173	0.0006	2.9463	2.0246	0.0000	0.1192	0.3650	2.6524	1.2045	0.0326	0.0005	0.0000	3.3122	0.2845	3.8794	0.0100	1.3250	0.0000	0.0000	0.0329	1.4281	0.0682	0.0289	0.3993	1.4868	2.1278	0.9158	0.0006	0.3930	0.1429	7.6612	5.5843	3.1575	9.0867
600-15-7	10000081	66.5686	85.7533	82.9143	41.2962	0.4391	3.7761	0.0003	0.0000	0.0703	0.0000	0.0009	0.0006	0.1481	6.1449	0.9090	0.0000	0.0052	0.0000	4.6791	3.9798	3.7559	0.0000	3.0557	1.8917	0.0181	0.0000	3.2681	2.1220	2.8772	0.0034	3.6447	0.1456	2.7617	2.0965	1.2731	0.1484	0.6798	0.0000	1.5972	10.7166	0.0000	2.6882	0.0136	1.2999	0.1130	1.0805	2.9188	0.0042	0.0000	3.1476	0.2730	0.0000	1.7489	2.1833	4.0236	2.8826	0.8254	0.5673	1.1451	0.2819	1.3357	7.9737	0.7656	0.5899	0.4637	2.2829	15.7511	3.0999	0.0000	0.6678	2.8001	2.2441	0.0688	0.7805	0.0000	1.1092	0.0000	0.0000	11.4788	0.2576	2.5205	1.2233	1.5468	7.2152	0.0050	0.6336	0.0352	0.0000	0.1480	0.0009	0.0000	0.0237	0.0000	0.0000	0.0157	0.2770	7.8818	1.9627	7.9807	0.0977	0.8226	0.0008	0.0000	4.1511	0.0001	0.0033	0.5586	0.0016	0.0029	1.0821	0.9272	0.0010	0.0020	0.0000	0.0000	0.0015	3.0858	2.0913	0.2722	1.2649	0.8654	0.1424	0.3038	0.0000	0.0000	0.5797	4.7127	0.0000	0.0000	0.0000	0.0016	4.3798	1.1504	0.0780	0.0809	0.0001	0.4967	0.0010	0.0011	0.0022	1.5971	0.0653	0.0019	0.0000	7.9129	0.3364	0.0368	7.4109	0.0538	0.0002	0.0000	0.7897	0.2315	1.2359	0.0254	0.0092	0.5174	3.1044	0.0000	0.0000	0.0000	1.4160	0.0058	0.1124	0.0000	3.0361	0.0000	0.0000	0.0000	0.0013	0.0001	0.0000	0.0025	0.1619	0.8622	2.7205	0.0001	0.0016	0.0007	6.1449	2.1202	0.7656	3.9798
82-82-6	10000171	144.5441	129.3038	106.3752	102.4521	0.2583	1.3600	6.3389	4.8222	7.8211	4.0481	0.1391	5.1225	0.8962	1.9536	0.4942	0.0000	0.1582	0.0446	1.6892	3.0154	2.6940	0.0040	3.4153	3.3527	0.1798	0.0011	2.9055	2.6948	0.7395	0.5013	3.6242	0.4667	3.2201	2.3990	1.6462	0.2742	4.7197	0.1082	2.3147	2.6495	0.0193	1.0595	0.1157	3.8184	0.1847	3.5022	1.9958	0.1316	0.0001	0.7778	0.2072	0.0001	0.4337	0.8403	0.8967	2.6527	0.5433	2.4359	2.9975	0.3167	0.6533	15.3939	2.1356	0.3079	0.9496	2.2091	0.0339	1.0955	2.2133	0.2435	0.7660	0.7005	0.4170	3.2920	0.9747	9.3060	0.1058	2.6282	0.0007	0.8775	1.0156	0.3405	0.5979	1.0741	0.0358	2.0076	0.3546	0.0006	1.1121	0.6180	0.0009	0.1232	1.4271	0.0012	9.0371	8.7015	14.2409	0.4198	0.0030	1.6421	0.6204	0.0782	0.0969	0.0007	0.0489	0.0054	0.2384	0.0103	0.0040	1.2034	0.4031	0.0732	0.0316	0.0000	0.0273	0.0044	1.6055	1.0997	8.8813	1.2067	0.4958	0.1636	0.6649	0.0094	0.0295	0.1084	0.7629	0.0004	0.0005	0.0043	0.0506	12.7465	0.5751	0.2223	0.4573	0.0765	0.3118	0.0099	0.0671	0.0136	0.8198	0.1294	0.0007	0.0000	0.0010	1.6153	4.1791	0.0059	0.1374	0.0177	0.0034	0.3409	0.0433	0.0017	0.0024	0.0607	0.5916	0.4846	0.0225	0.0441	0.0097	1.3798	0.0832	1.2498	0.0030	0.9610	0.0003	0.0044	2.3886	0.0571	0.0098	0.0102	0.0414	0.0750	0.5615	0.4571	0.1428	3.7539	0.0187	1.9536	0.5252	1.1443	3.0154
759-05-7	10000191	0.8092	0.9196	1.1807	0.4075	2.4537	34.1881	0.0625	0.0065	0.2074	0.0117	0.0263	0.0367	0.3491	10.0870	15.3983	0.0114	0.0003	0.0000	9.7369	7.4822	5.6167	0.0000	5.8204	3.8278	0.0002	0.0346	7.6426	6.6916	12.9130	0.4659	8.7391	2.7537	7.7117	9.6697	16.7267	2.0263	2.6007	0.0005	15.9531	5.9335	0.0264	10.2610	5.1260	5.1209	4.1682	6.1447	6.4731	0.0001	0.0020	12.7066	5.3106	0.0000	7.0772	8.9168	6.9758	6.6903	6.9544	3.9866	3.0718	1.3727	11.0558	0.4194	1.7823	6.0826	3.5398	5.8071	0.0000	6.8091	0.0794	5.6777	5.1709	11.0923	3.2741	3.4957	0.0116	4.3509	0.0000	0.0017	0.0000	2.3675	5.0667	3.8799	5.0615	5.4131	0.1875	4.7189	1.5331	0.0197	11.5868	0.0082	0.0000	0.3320	0.0000	0.0006	0.1645	2.9584	0.4606	11.3395	0.0178	1.8073	1.9757	1.7971	0.1229	0.0014	1.4472	0.3507	2.7015	0.1461	6.0933	2.6112	8.4242	0.0147	0.0172	0.0003	4.2132	6.1316	4.7128	3.8018	1.8889	4.9414	3.2645	3.1438	2.6541	0.0003	0.0003	1.7744	1.9953	0.5969	0.0015	0.0381	0.0004	0.1293	3.7506	0.5529	0.5215	4.0740	6.0354	0.0780	0.0088	0.0981	4.3401	2.4109	0.2646	0.0137	0.0002	2.3279	0.2640	0.0007	2.5406	0.0061	0.0302	2.8946	3.6025	0.0000	0.3397	1.2405	1.6009	1.2255	0.1095	0.0010	0.0004	3.8112	1.0230	1.4657	0.0023	1.2967	0.0001	0.0000	0.0011	1.0744	0.0015	0.0697	0.6148	1.8170	2.0652	1.2096	0.0056	1.9470	0.1383	5.6635	5.8962	3.8932	4.4787
156-38-7	10000201	0.2113	0.2086	0.2980	0.0937	0.3473	2.3503	0.0682	0.1889	0.0339	0.1185	0.0223	0.1421	0.0979	1.6449	0.8982	0.0000	24.1082	0.1526	1.5078	1.7767	1.0316	0.9197	0.8816	1.1319	19.5593	11.7793	0.6538	0.5590	1.5797	0.0878	0.9489	0.0425	0.4436	0.5726	0.3738	0.0233	0.3411	0.2627	0.3439	1.3079	0.0544	1.4633	0.1577	0.2544	0.2715	0.3901	0.2563	16.0530	0.0000	1.4206	0.3118	2.6344	1.0833	0.7606	1.6546	0.5625	0.6242	0.0590	1.2919	0.1389	0.8225	0.0071	0.3944	0.4485	0.4671	0.8430	0.0000	0.8032	0.2460	0.4734	1.2415	0.8116	0.1829	0.0758	0.0666	0.0843	0.6604	0.0292	0.0000	0.0522	1.0069	1.0512	0.5368	0.1355	0.0082	0.0731	0.0243	0.0000	0.1065	0.2442	19.9495	0.0041	0.0058	0.0000	0.0152	0.0290	0.3204	0.0889	0.0000	0.3379	0.4401	0.0003	0.1263	0.0003	0.0001	0.0405	0.1267	0.0099	0.0001	0.5632	0.6096	0.0007	0.0002	0.0066	0.0050	0.0004	0.6306	6.2745	0.0175	0.2410	0.5259	0.0710	0.0058	0.0438	0.1572	0.5237	0.2945	0.0002	0.0000	0.0002	0.2668	0.0434	0.3953	0.1668	0.0333	0.0049	0.3607	7.9425	0.1278	0.0140	0.4137	0.0318	0.1119	0.0000	0.0000	0.1844	0.0328	0.0000	0.1682	0.0029	0.0012	0.3651	0.3169	0.0000	0.0192	0.1019	0.7085	0.4320	0.0017	0.0063	0.0285	0.1552	0.0042	0.0782	0.8156	0.0755	0.0122	0.0001	0.0014	0.0130	0.1543	0.0062	0.0003	0.1858	0.0121	0.1958	0.0277	0.0322	0.0145	1.6449	1.6449	1.7767	1.7767
305-84-0	10000331	0.2256	0.3450	0.6383	0.0175	69.9211	54.5420	0.0073	0.0002	0.3589	0.0009	40.3507	0.0394	12.3583	22.4838	33.2669	0.0122	0.0080	0.0000	20.0912	23.9855	10.3496	0.0000	28.0742	31.5149	0.0029	0.0133	20.1503	13.3335	24.8723	0.5098	23.5332	6.6084	16.8664	17.8154	12.2046	5.6283	4.7054	0.0000	14.0660	20.6312	0.0055	31.4083	12.5711	12.6189	10.5907	12.8636	13.9781	0.0141	0.0000	24.1834	6.6535	0.0000	11.9179	20.0228	25.0635	16.4974	13.6887	8.6494	15.8418	12.7141	21.5230	0.0198	13.1321	12.8709	7.8772	23.8786	0.0000	16.1836	0.0166	11.9451	11.3492	21.5935	3.1066	9.3527	0.0016	8.9276	0.0002	0.0000	0.0000	3.4195	13.3109	8.9545	9.0185	13.3680	0.0634	4.0644	12.1655	0.0000	1.6534	0.0021	0.0000	11.4684	0.0000	0.0001	1.2731	5.1010	0.2261	10.2830	0.0009	2.9983	12.9017	0.0002	13.1079	0.0000	0.9305	6.0559	4.0498	0.3126	4.0002	4.1012	17.5630	0.0044	0.0000	0.0000	1.5758	4.7626	18.2353	7.7512	8.2593	14.8043	6.4960	4.4084	1.5083	0.0000	1.1908	10.3555	6.4541	0.3589	0.0000	0.0002	0.1652	0.0005	7.1338	0.3707	0.9731	1.5122	10.9332	4.2096	0.2077	1.0652	9.7686	1.4328	4.4952	0.0106	0.0000	3.8240	0.6684	0.0000	3.2290	0.0027	4.9498	5.1133	8.6142	0.0000	5.2066	6.6107	5.2736	4.9526	0.0163	0.0000	0.0000	8.4447	0.1702	6.1126	0.0000	4.1969	0.0306	0.8821	0.0000	2.5868	0.0280	0.0055	1.2612	4.2696	4.8438	4.0806	7.5788	1.0409	0.0043	8.1600	15.6733	10.1671	10.2352
73-24-5	10000341	0.3904	0.4357	0.3716	0.2345	0.0550	0.3389	0.1563	0.0789	0.2384	0.1585	33.2945	0.2340	0.0002	0.1851	0.2202	0.0173	0.0159	0.0069	0.0893	0.0562	0.0798	0.0008	0.0572	0.0394	0.0493	0.0097	0.0352	0.0094	0.2827	0.1253	0.0196	0.0581	0.0036	0.0072	0.0180	0.0514	0.1149	0.0021	0.0057	0.0956	0.0000	0.0960	0.1291	0.0090	0.0749	0.0013	0.0606	0.0844	0.0001	0.2460	0.3837	0.0060	0.0484	0.1681	0.1394	0.0479	0.1609	0.0747	0.0188	0.0149	0.1438	0.2820	0.0239	0.2468	0.0217	0.0706	0.0168	0.0556	0.0782	0.1787	0.1448	0.1553	0.2922	0.0104	0.0072	0.0215	0.0061	0.0647	0.0000	0.0035	0.1534	0.0323	0.0576	0.1883	0.0008	0.0088	0.0033	0.0014	0.0298	0.0155	0.0399	12.0870	0.0293	0.0026	0.0262	0.0294	0.1022	0.4660	0.0127	0.0207	0.0139	0.0323	3.7326	0.0004	0.0082	0.0258	0.0412	0.1010	0.0268	0.0227	0.1081	0.0009	0.0165	0.4984	0.3757	0.0045	0.0396	0.1800	0.0084	0.0008	0.2072	0.1755	0.0193	0.0198	0.0222	0.0132	0.0184	0.0331	0.0000	0.0125	0.1135	0.0794	0.0061	0.0331	0.0091	0.1094	0.0554	0.0283	0.0835	2.2009	0.1505	0.1888	0.0266	0.0467	0.0009	0.0053	0.1071	0.0093	0.0365	0.0046	0.0113	0.0362	0.1305	0.0001	0.0359	1.2062	0.0161	0.0628	0.0680	0.0180	0.0118	0.0251	0.0901	0.0005	0.0510	0.0352	0.0020	0.2274	0.0172	0.0041	0.3911	0.1179	0.0115	0.0410	0.0374	0.0195	6.4094	0.0711	7.1663	0.1851	0.1851	0.0562	0.0562
107-92-6	10000391	0.2381	0.3096	0.5542	0.0541	0.5031	5.0763	12.8606	11.2871	4.2198	13.2730	0.0150	11.9908	0.0448	4.6730	2.7452	0.0269	0.0191	0.0000	4.6586	5.5828	2.0329	0.0000	4.0019	3.2309	0.0008	6.4005	4.6056	3.5462	2.4403	8.4969	13.0672	1.0374	12.6136	11.3934	3.6485	1.1143	5.6461	0.0001	10.9225	3.8296	0.0003	3.8322	0.5361	4.0800	1.1015	9.7944	4.4463	0.0003	0.0000	3.3173	1.3728	4.4825	1.0958	3.1745	1.7598	3.8488	1.7553	2.2167	10.6924	0.4363	1.8206	0.0002	1.0512	1.7705	1.9611	3.8221	16.0200	3.0106	2.2280	1.2151	1.5568	3.1330	0.4961	2.4878	1.4794	3.3508	0.0000	3.2978	0.0000	1.3008	1.7953	0.8643	1.7955	2.2173	0.0182	1.5573	0.8489	0.0000	0.3936	2.1959	0.0000	0.0078	3.3124	0.0821	0.0208	1.9378	0.1011	1.9049	21.0890	7.7413	1.0891	0.0971	0.0237	0.0000	0.0290	0.0064	0.5764	4.2779	0.0012	0.3246	1.2508	0.0000	0.0000	0.0000	0.0000	0.0291	2.3069	1.4215	0.8054	2.0608	0.6644	0.2368	0.6925	0.0000	0.0000	0.3550	0.3950	0.0014	0.0000	0.0002	0.0000	0.0056	1.5149	0.2682	0.0751	0.0000	0.8811	0.0104	0.0000	0.0320	1.8065	0.4672	0.0144	0.0002	1.3431	0.9742	0.9625	1.3720	0.5877	0.0000	0.0022	0.7700	0.4683	0.0000	0.0395	1.6060	0.7997	0.1797	0.0000	0.0000	0.0000	1.3166	0.0012	4.5330	2.4266	0.2204	0.0000	0.0000	0.0002	0.3215	0.1909	0.0000	0.2223	0.2105	5.4537	0.2933	0.0073	0.2044	0.0002	4.6730	2.6377	1.2406	5.5828
