cas	id	scoreadj/f7.83125363f7.5543394	scoreadj/f3.96892066f7.5543394	scoreadj/f7.8423149f3.96892066	scoreadj/f7.65137389f7.54371056	scoreadj/f2.67183079f2.55375959	scoreadj/f4.05847317f3.04562355	scoreadj/f2.26835606f7.41543777	scoreadj/f4.19323137f2.26835606	scoreadj/f7.21512364f2.34609156	scoreadj/f2.10098149f2.26835606	scoreadj/f8.08686961f4.44197134	scoreadj/f1.9327416f2.26835606	scoreadj/f3.11155736f3.30174918	scoreadj/f6.36097057f6.13422123	scoreadj/f2.72536507f3.04562355	scoreadj/f8.33470473f6.67724044	scoreadj/f7.30971869f6.84334939	scoreadj/f4.64518419f5.23951002	scoreadj/f6.24620988f6.36097057	scoreadj/f3.58786783f2.47461135	scoreadj/f6.21704203f6.06044366	scoreadj/f6.98478217f7.76865622	scoreadj/f2.74415963f3.58786783	scoreadj/f3.18131412f2.74415963	scoreadj/f6.99371349f6.84334939	scoreadj/f7.15493875f2.16092068	scoreadj/f4.11516934f3.58786783	scoreadj/f4.26441488f4.11516934	scoreadj/f6.43833605f3.04562355	scoreadj/f1.91427696f2.11117558	scoreadj/f1.50892693f3.58786783	scoreadj/f5.86025971f5.61164911	scoreadj/f2.38065771f1.50892693	scoreadj/f1.37357132f1.50892693	scoreadj/f1.11970213f1.37357132	scoreadj/f5.97056593f5.86025971	scoreadj/f3.65800917f7.36383034	scoreadj/f7.47437275f7.33825723	scoreadj/f1.12989762f1.50892693	scoreadj/f4.00955893f3.58786783	scoreadj/f3.39722713f3.52922397	scoreadj/f3.15649363f4.05847317	scoreadj/f4.03764378f2.72536507	scoreadj/f4.53880071f5.21309637	scoreadj/f4.30671322f7.67911541	scoreadj/f3.37475199f1.50892693	scoreadj/f1.83683351f2.38065771	scoreadj/f2.61479076f6.84334939	scoreadj/f3.09422033f1.19139379	scoreadj/f6.26268833f3.04562355	scoreadj/f6.173676f4.07081943	scoreadj/f3.62745737f2.16092068	scoreadj/f2.9415488f8.33060653	scoreadj/f5.98390494f4.05847317	scoreadj/f2.65362897f6.13422123	scoreadj/f4.24945164f3.58786783	scoreadj/f2.36721772f4.30671322	scoreadj/f2.0802689f4.53880071	scoreadj/f1.48991788f3.18131412	scoreadj/f7.08725811f7.88000916	scoreadj/f6.12074843f3.04562355	scoreadj/f8.49620795f7.62955706	scoreadj/f2.8938235f2.74415963	scoreadj/f8.34870752f4.30671322	scoreadj/f7.95494567f2.27881983	scoreadj/f2.62446615f3.58786783	scoreadj/f0.91439674f1.01900188	scoreadj/f6.51473917f6.36097057	scoreadj/f7.26597854f4.19323137	scoreadj/f6.09812883f4.30671322	scoreadj/f5.32384267f6.13422123	scoreadj/f5.99956963f3.04562355	scoreadj/f2.8477771f4.07081943	scoreadj/f3.84184016f4.53880071	scoreadj/f7.95316535f4.19323137	scoreadj/f2.29228556f2.39563347	scoreadj/f3.41036438f4.64518419	scoreadj/f6.74609331f2.26835606	scoreadj/f1.79263619f1.64399104	scoreadj/f1.32800494f4.11516934	scoreadj/f5.49046355f6.13422123	scoreadj/f5.45413051f2.9415488	scoreadj/f4.62974974f6.24620988	scoreadj/f4.02377892f1.83683351	scoreadj/f6.48213498f4.61730956	scoreadj/f0.83155705f1.24709382	scoreadj/f3.17086713f5.86025971	scoreadj/f2.78078922f4.39112747	scoreadj/f1.10153829f1.2375346	scoreadj/f7.97917265f2.10098149	scoreadj/f7.17527913f6.87201597	scoreadj/f1.96535712f8.09635394	scoreadj/f3.6353089f2.26835606	scoreadj/f2.8200243f1.42052021	scoreadj/f2.31137638f3.11155736	scoreadj/f2.79038061f2.29228556	scoreadj/f6.72081819f7.8423149	scoreadj/f1.08829468f1.83683351	scoreadj/f0.86830182f1.54263629	scoreadj/f3.78517816f1.48991788	scoreadj/f3.69849025f7.08725811	scoreadj/f4.34452389f1.22665954	scoreadj/f3.20704457f4.45891829	scoreadj/f2.00966913f1.64399104	scoreadj/f4.48171741f1.22665954	scoreadj/f2.43158044f3.23015616	scoreadj/f8.24549261f6.30796788	scoreadj/f2.46419281f2.14161058	scoreadj/f3.01992633f2.43158044	scoreadj/f8.48640761f6.06044366	scoreadj/f5.60282437f3.04562355	scoreadj/f3.86525495f3.7539065	scoreadj/f5.19909117f7.81503062	scoreadj/f7.99540288f8.15267475	scoreadj/f3.00131145f3.92193576	scoreadj/f2.02327747f3.01992633	scoreadj/f7.07578926f6.36097057	scoreadj/f6.82959963f6.13422123	scoreadj/f4.52031939f4.35614714	scoreadj/f1.38821794f2.66759434	scoreadj/f8.30641865f6.13422123	scoreadj/f1.27162019f2.36721772	scoreadj/f3.51789794f1.24709382	scoreadj/f3.89303619f5.24436416	scoreadj/f3.74338363f3.24618599	scoreadj/f6.52446765f2.65362897	scoreadj/f4.27728549f4.00955893	scoreadj/f2.94437771f4.2967762	scoreadj/f1.18001829f3.6660258	scoreadj/f5.45933027f4.62974974	scoreadj/f7.7263651f7.117331	scoreadj/f6.71691438f7.5543394	scoreadj/f6.55095009f6.24620988	scoreadj/f0.97475418f2.47537718	scoreadj/f5.18848173f7.0109346	scoreadj/f8.22507171f3.00131145	scoreadj/f6.6336729f3.04562355	scoreadj/f3.43006857f3.23015616	scoreadj/f8.38761746f3.74338363	scoreadj/f4.14843399f1.8614884	scoreadj/f3.76460529f6.36097057	scoreadj/f6.89686185f4.07081943	scoreadj/f2.90444467f3.23015616	scoreadj/f8.1918897f8.33470473	scoreadj/f1.31378065f1.70904734	scoreadj/f3.82947275f4.26441488	scoreadj/f7.06217792f2.34609156	scoreadj/f1.61871485f1.01900188	scoreadj/f6.68878115f4.30671322	scoreadj/f8.02105451f7.90392089	scoreadj/f7.10426492f3.24618599	scoreadj/f5.29065005f6.24620988	scoreadj/f8.20628545f4.05847317	scoreadj/f5.51326463f1.66487509	scoreadj/f4.58958407f3.23015616	scoreadj/f3.29149357f2.17139329	scoreadj/f2.88363939f2.47461135	scoreadj/f8.34643622f4.00955893	scoreadj/f5.34719257f4.29740181	scoreadj/f2.92630419f5.24436416	scoreadj/f3.48227835f5.24436416	scoreadj/f5.52944098f6.36097057	scoreadj/f6.07064227f6.65703491	scoreadj/f2.63782808f1.50892693	scoreadj/f3.90357189f2.16092068	scoreadj/f2.21837317f4.00955893	scoreadj/f5.4446624f7.117331	scoreadj/f8.05600859f7.7263651	scoreadj/f7.02540525f7.50037017	scoreadj/f4.55579687f7.67911541	scoreadj/f3.60478819f1.8614884	scoreadj/f6.96092807f3.87397676	scoreadj/f3.9339112f5.86025971	scoreadj/f7.03452178f2.9415488	scoreadj/f1.52511092f1.83683351	scoreadj/f8.02916865f4.00955893	scoreadj/f3.3225281f4.44197134	scoreadj/f2.32341986f4.07081943	scoreadj/f8.13693716f8.437004	scoreadj/f6.36097057f6.13422123.neg	scoreadj/f6.36097057f6.13422123.pos	scoreadj/f3.58786783f2.47461135.neg	scoreadj/f3.58786783f2.47461135.pos
332-80-9	10000011	0.0004	0.0046	0.0026	0.0038	0.0000	0.0182	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0167	0.0000	0.0174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	0.0033	0.0120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0011	0.0001	0.0000	0.0000	0.0000	0.0000	0.1500	0.0027	0.0000	0.0621	0.0000	0.0000	0.0000	0.0161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0001	0.0005	0.0065	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	0.0000	0.0032	0.0000	0.0000	0.0000	0.1054	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0125	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0092	0.0000	0.0000	0.0014	0.0000	0.0000	0.0037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0489	0.0000	0.0000	0.0473	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
109-76-2	10000021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.1483	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0596	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
600-18-0	10000051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0545	0.0056	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3557	0.0000	0.0049	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
600-15-7	10000081	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.2989	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6558	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0433	0.0000	0.0000	0.0000	0.0000	0.0312	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2264	0.0000	0.0000	0.2991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0186	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82-82-6	10000171	0.0036	0.0141	0.0008	0.0045	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0043	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0048	0.0036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0095	0.0000	0.0000	0.0000	0.0000	0.0000
759-05-7	10000191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0099	0.0000	0.0000	0.0000	0.0052	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0187	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0223	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0569	0.1666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0989	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000
156-38-7	10000201	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2715	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.1931	0.0360	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0971	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1487	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0797	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
305-84-0	10000331	0.0000	0.0000	0.0000	0.0000	0.1112	0.2040	0.0000	0.0000	0.0000	0.0000	0.1788	0.0000	0.0055	0.0000	0.7518	0.0000	0.0000	0.0000	0.0000	0.0034	0.0000	0.0000	0.2414	0.8283	0.0000	0.0000	0.0016	0.0000	0.0182	0.0000	0.0072	0.0012	0.0009	0.0020	0.0000	0.0087	0.0000	0.0000	0.0007	0.0052	0.0000	0.6409	0.0853	0.0000	0.0155	0.0004	0.0015	0.0000	0.0000	0.0083	0.0000	0.0000	0.0000	0.0119	0.0348	0.0004	0.0116	0.0002	0.0122	0.3786	0.0862	0.0000	0.1241	0.0158	0.0000	0.1696	0.0000	0.0003	0.0000	0.0031	0.0000	0.0223	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0133	0.0000	0.0000	0.2389	0.0000	0.0000	0.0000	0.0000	0.1078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0064	0.0000	0.0000	0.2323	0.0000	0.9598	0.0000	0.0004	0.0235	0.0000	0.0000	0.0185	0.0000	0.0741	0.0000	0.0000	0.0000	0.0075	0.0482	0.0579	0.0000	0.0493	0.1670	0.0000	0.0023	0.0000	0.0000	0.0018	0.0332	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0101	0.0422	0.0107	0.0000	0.0002	0.0002	0.0000	0.0189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.1055	0.0000	0.0185	0.0000	0.0457	0.2384	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0147	0.0000	0.0001	0.0000	0.0127	0.0000	0.0011	0.0000	0.0000	0.0000	0.0001	0.0023	0.0005	0.1089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
73-24-5	10000341	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0947	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1223	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0056	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0049	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0585	0.0000	0.5027	0.0000	0.0000	0.0000	0.0000
107-92-6	10000391	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3208	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8539	0.0063	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0192	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	0.0000	0.0031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
